ID,IBLOCK_ID,XML_ID,NAME,ACTIVE,CODE
627,12,627,"Графит темно-серый MT Grafit Gray Dark МТ",Y,grafit-gray-dark-mt
628,12,628,"Графит светло-серый MT Grafit Gray Light МТ",Y,grafit-gray-light-mt
629,12,629,"Майкл серый MT Maykel Gray МТ",Y,maykel-gray-mt
630,12,630,"Рафаэль золотой MT Rafael Gold МТ",Y,rafael-gold-mt
631,12,631,"Рафаэль серый MT Rafael Gray МТ",Y,rafael-gray-mt
632,12,632,"Белый MT White MT",Y,white-mt
633,12,633,"Артстоун черный MT Artstone Black MT",Y,artstone-black-mt
634,12,634,"Артстоун кремовый MT Artstone Cream MT",Y,artstone-cream-mt
635,12,635,"Артстоун серый MT Artstone Gray MT",Y,artstone-gray-mt
636,12,636,"Марс коричневый MT Mars Brown MT",Y,mars-brown-mt
637,12,637,"Марс кремовый MT Mars Cream MT",Y,mars-cream-mt
638,12,638,"Мурано темный MT Murano Dark MT",Y,murano-dark-mt
639,12,639,"Мурано светлый MT Murano Light MT",Y,murano-light-mt
640,12,640,"Мурано MT Murano MT",Y,murano-mt
641,12,641,"Кварц бежевый MT Quartz Beige MT",Y,quartz-beige-mt
642,12,642,"Травертин MT Travertin MT",Y,travertin-mt
643,12,643,"Ультра MT Ultra MT",Y,ultra-mt
644,12,644,"Арника антрацитовый MT Arnika Antracit MT",Y,arnika-antracit-mt
645,12,645,"Калакатта золотой MT Calacatta Gold MT",Y,calacatta-gold-mt
646,12,646,"Калакатта Торонто MT Calacatta Toronto MT",Y,calacatta-toronto-mt
647,12,647,"Крокус темный MT Crocus Dark MT",Y,crocus-dark-mt
648,12,648,"Крокус светлый MT Crocus Light MT",Y,crocus-light-mt
649,12,649,"Галакси MT Galaxy MT",Y,galaxy-mt
650,12,650,"Манилла бежевая MT Manilla Beige MT",Y,manilla-beige-mt
651,12,651,"Манилла шоколад MT Manilla Brown MT",Y,manilla-brown-mt
652,12,652,"Про Бетон MT Pro Beton MT",Y,pro-beton-mt
653,12,653,"Статуарио MT Statuario MT",Y,statuario-mt
654,12,654,"Тераццо MT Terazzo MT",Y,terazzo-mt
655,12,655,"Фьюжн серый MT Fusion Gray МТ",Y,fusion-gray-mt
656,12,656,"Фьюжн светло-серый MT Fusion Gray Light МТ",Y,fusion-gray-light-mt
667,12,667,"Сантана светло-бежевый MT Santana Light Beige MT 60x60",Y,santana-light-beige-mt-60x60
932,12,932,"Зоя светлый PL Zoya Light PL",Y,zoya-svetlyy-pl-zoya-light-pl
935,12,935,"Гравел MT Gravel MT",Y,gravel-mt-gravel-mt
938,12,938,"Кирпич красный MT Brick Red MT 30*60",Y,kirpich-krasnyy-mt-brick-red-mt-30-60
